X,Y
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
876,658
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
696,679
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
806,676
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
686,716
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
901,614
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
773,626
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
878,760
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
760,808
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
843,876
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
778,695
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
1028,679
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
991,737
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
935,672
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
818,922
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
764,806
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1093,788
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1225,867
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1266,674
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
1168,678
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
892,725
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1182,891
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1232,1047
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1234,926
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1297,853
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1204,799
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1158,847
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1071,796
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1178,349
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
1218,341
