(160.0, 214.0)
(158.0, 212.0)
(153.0, 207.0)
(151.0, 205.0)
(149.0, 202.0)
(147.0, 199.0)
(146.0, 198.0)
(145.0, 197.0)
(145.0, 196.0)
(144.0, 196.0)
(144.0, 195.0)
(144.0, 193.0)
(143.0, 193.0)
(143.0, 192.0)
(143.0, 191.0)
(142.0, 191.0)
(140.0, 190.0)
(140.0, 189.0)
(140.0, 188.0)
(140.0, 187.0)
(140.0, 186.0)
(140.0, 185.0)
(140.0, 184.0)
(140.0, 183.0)
(140.0, 182.0)
(140.0, 181.0)
(141.0, 180.0)
(142.0, 179.0)
(142.0, 178.0)
(142.0, 177.0)
(143.0, 176.0)
(144.0, 176.0)
(144.0, 175.0)
(145.0, 174.0)
(146.0, 173.0)
(147.0, 173.0)
(148.0, 173.0)
(149.0, 171.0)
(150.0, 169.0)
(152.0, 169.0)
(155.0, 167.0)
(157.0, 165.0)
(160.0, 164.0)
(162.0, 163.0)
(164.0, 161.0)
(165.0, 160.0)
(168.0, 159.0)
(170.0, 158.0)
(172.0, 158.0)
(173.0, 158.0)
(176.0, 157.0)
(177.0, 157.0)
(179.0, 157.0)
(180.0, 157.0)
(181.0, 157.0)
(182.0, 157.0)
(183.0, 157.0)
(184.0, 157.0)
(185.0, 158.0)
(186.0, 159.0)
(188.0, 160.0)
(189.0, 161.0)
(190.0, 162.0)
(192.0, 164.0)
(192.0, 165.0)
(194.0, 165.0)
(196.0, 166.0)
(196.0, 167.0)
(197.0, 169.0)
(199.0, 170.0)
(201.0, 171.0)
(203.0, 172.0)
(203.0, 173.0)
(204.0, 174.0)
(205.0, 175.0)
(207.0, 177.0)
(208.0, 177.0)
(208.0, 178.0)
(209.0, 178.0)
(209.0, 179.0)
(210.0, 180.0)
(211.0, 181.0)
(212.0, 182.0)
(212.0, 183.0)
(212.0, 184.0)
(214.0, 185.0)
(215.0, 186.0)
(215.0, 189.0)
(216.0, 189.0)
(216.0, 192.0)
(217.0, 193.0)
(217.0, 197.0)
(217.0, 198.0)
(218.0, 201.0)
(218.0, 203.0)
(218.0, 204.0)
(218.0, 205.0)
(218.0, 206.0)
(218.0, 209.0)
(218.0, 210.0)
(218.0, 212.0)
(218.0, 213.0)
(217.0, 213.0)
(217.0, 214.0)
(216.0, 214.0)
(216.0, 215.0)
(216.0, 216.0)
(215.0, 216.0)
(214.0, 217.0)
(213.0, 217.0)
(212.0, 217.0)
(212.0, 218.0)
(211.0, 218.0)
(210.0, 218.0)
(209.0, 218.0)
(208.0, 218.0)
(207.0, 218.0)
(206.0, 218.0)
(205.0, 218.0)
(204.0, 218.0)
(202.0, 218.0)
(201.0, 218.0)
(200.0, 218.0)
(199.0, 218.0)
(198.0, 218.0)
(197.0, 218.0)
(196.0, 218.0)
(195.0, 218.0)
(194.0, 218.0)
(193.0, 218.0)
(192.0, 218.0)
(191.0, 218.0)
(190.0, 218.0)
(189.0, 218.0)
(189.0, 217.0)
(188.0, 217.0)
(188.0, 216.0)
(188.0, 215.0)
(188.0, 214.0)
(187.0, 213.0)
(187.0, 212.0)
(187.0, 211.0)
(187.0, 210.0)
(187.0, 209.0)
(187.0, 208.0)
